dir,num1,lat,lon,num2
S,01F-000.5S,25.11878611,121.7317639,01F0005S
S,01F-001.7S,25.10956667,121.7259056,01F0017S
S,01F-002.9S,25.10311111,121.7173694,01F0029S
S,01F-006.1S,25.08839444,121.6934833,01F0061S
S,01F-009.9S,25.07626389,121.6594778,01F0099S
S,01F-014.7S,25.06564444,121.6135194,01F0147S
S,01F-015.5S,25.06475278,121.6059028,01F0155S
S,01F-018.2S,25.06898611,121.5802306,01F0182S
S,01F-024.8S,25.07763056,121.5166028,01F0248S
S,01F-026.4S,25.07746389,121.5013861,01F0264S
S,01F-029.3S,25.07479722,121.4729611,01F0293S
S,01F-033.9S,25.068239,121.428764,01F0339S
S,01F-037.6S,25.058667,121.397306,01F0376S
S,01F-041.3S,25.065081,121.363444,01F0413S
S,01F-046.7S,25.047075,121.317761,01F0467S
S,01F-050.9S,25.027206,121.283072,01F0509S
S,01F-053.2S,25.012944,121.266194,01F0532S
S,01F-055.7S,24.99858333,121.2477222,01F0557S
S,01F-057.8S,24.984414,121.233197,01F0578S
S,01F-063.3S,24.949281,121.195594,01F0633S
S,01F-066.4S,24.929544,121.176919,01F0664S
S,01F-068.1S,24.917967,121.167586,01F0681S
S,01F-075.0S,24.893436,121.111731,01F0750S
S,01F-088.0S,24.848719,121.019031,01F0880S
S,01F-092.8S,24.808453,121.010306,01F0928S
S,01F-095.0S,24.789622,121.005247,01F0950S
S,01F-098.0S,24.763586,120.998861,01F0980S
S,01F-104.5S,24.727131,120.951897,01F1045S
S,01F-112.3S,24.67931667,120.9042667,01F1123S
S,01F-129.2S,24.550442,120.838925,01F1292S
S,01F-138.9S,24.485919,120.781903,01F1389S
S,01F-146.5S,24.420514,120.775731,01F1465S
S,01F-157.2S,24.339147,120.72085,01F1572S
S,01F-162.1S,24.301186,120.697325,01F1621S
S,01F-166.4S,24.262647,120.691956,01F1664S
S,01F-172.5S,24.212956,120.671375,01F1725S
S,01F-177.4S,24.184592,120.635611,01F1774S
S,01F-180.2S,24.163706,120.621933,01F1802S
S,01F-183.9S,24.130767,120.617247,01F1839S
S,01F-190.6S,24.113572,120.568131,01F1906S
S,01F-196.0S,24.085622,120.52785,01F1960S
S,01F-201.1S,24.040639,120.522786,01F2011S
S,01F-208.9S,23.971794,120.506117,01F2089S
S,01F-215.6S,23.912769,120.49765,01F2156S
S,01F-224.9S,23.830569,120.484881,01F2249S
S,01F-232.2S,23.766328,120.469342,01F2322S
S,01F-239.4S,23.702603,120.474917,01F2394S
S,01F-242.5S,23.677375,120.462281,01F2425S
S,01F-248.3S,23.629158,120.440264,01F2483S
S,01F-251.4S,23.601989,120.435417,01F2514S
S,01F-260.3S,23.526739,120.405583,01F2603S
S,01F-267.4S,23.469403,120.3777,01F2674S
S,01F-271.4S,23.436367,120.361561,01F2714S
S,01F-282.7S,23.347469,120.322192,01F2827S
S,01F-286.6S,23.320994,120.298703,01F2866S
S,01F-293.0S,23.272589,120.265769,01F2930S
S,01F-301.9S,23.205089,120.236675,01F3019S
S,01F-308.3S,23.148131,120.231303,01F3083S
S,01F-312.6S,23.104817,120.247681,01F3126S
